,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
frankenstein,27,0,0,0,0,0
modern,11,1,0,20,110,41
prometheus,1,0,0,0,0,0
mary,1,8,0,0,0,0
wollstonecraft,1,0,0,0,0,0
godwin,1,0,0,0,0,0
shelley,1,0,0,0,0,0
contents,2,2,1,31,2,1
letter,32,66,7,238,2,0
chapter,48,54,0,237,1,0
mrs,4,90,3,0,0,0
saville,4,0,0,0,0,0
england,21,11,13,12,2,8
st,6,10,0,43,8,0
petersburgh,3,0,0,0,0,0
dec,1,0,0,0,0,0
th,17,4,1,65,2,1
will,194,455,48,2007,1616,24
rejoice,1,6,1,6,5,0
hear,19,101,49,127,77,0
disaster,4,0,2,1,2,0
accompanied,9,0,1,65,4,3
commencement,5,0,0,8,5,0
enterprise,10,2,0,4,0,0
regarded,6,0,1,18,46,0
evil,23,24,2,32,233,0
forebodings,2,0,0,2,1,0
arrived,29,22,1,138,23,0
yesterday,4,28,2,77,1,0
first,108,135,101,544,384,14
task,19,37,1,17,11,1
assure,5,3,1,77,3,1
dear,72,224,11,411,30,0
sister,28,10,0,59,10,0
welfare,2,0,0,0,1,0
increasing,1,4,0,13,9,0
confidence,4,16,4,54,4,0
success,12,4,2,20,4,0
undertaking,13,0,1,4,0,0
already,32,64,45,187,62,8
far,39,97,51,98,181,7
north,12,14,29,5,2,0
london,8,67,4,4,0,1
walk,6,18,9,34,9,0
streets,6,4,0,23,2,0
feel,50,77,7,104,20,0
cold,31,45,11,71,12,0
northern,6,3,2,5,1,0
breeze,10,4,16,9,3,0
play,7,13,5,26,32,0
upon,126,88,152,510,185,6
cheeks,7,20,6,38,0,0
braces,1,0,0,0,0,0
nerves,3,9,0,4,1,0
fills,5,0,0,2,2,0
delight,32,4,2,38,9,0
understand,16,55,11,248,71,1
feeling,27,35,5,83,49,0
travelled,6,7,0,10,0,0
regions,6,0,0,4,2,0
towards,94,41,33,360,43,0
advancing,4,1,1,30,1,0
gives,6,6,2,29,36,0
foretaste,1,0,0,1,1,0
icy,3,1,0,5,0,1
climes,1,0,0,4,0,1
inspirited,3,0,0,0,0,0
wind,27,44,29,41,4,0
promise,22,33,3,116,10,0
daydreams,2,0,0,0,0,0
become,33,27,3,157,106,9
fervent,2,0,0,5,0,0
vivid,3,1,0,6,1,0
try,4,64,5,61,34,1
vain,13,5,7,45,10,0
persuaded,7,0,0,8,2,0
pole,4,4,1,1,1,0
seat,5,33,6,69,3,0
frost,5,0,1,1,0,0
desolation,6,3,0,2,0,0
ever,85,136,47,187,122,9
presents,3,0,0,9,1,0
imagination,23,11,0,29,16,0
region,4,2,0,0,16,0
beauty,27,17,0,32,71,0
margaret,10,0,0,0,0,0
sun,45,55,25,53,54,0
visible,6,6,2,38,30,0
broad,2,11,8,10,0,0
disk,2,0,0,0,0,0
just,19,169,63,364,311,11
skirting,1,0,0,0,0,0
horizon,6,9,1,19,2,0
diffusing,1,0,0,0,0,0
perpetual,5,1,0,5,2,0
splendour,1,1,0,0,1,0
leave,22,56,18,272,29,0
put,15,107,60,167,71,6
trust,6,53,8,29,1,0
preceding,6,1,0,15,13,2
navigators,3,0,0,0,1,0
snow,16,43,2,4,0,0
banished,5,1,0,2,9,0
sailing,1,3,5,8,2,0
calm,20,19,4,84,3,0
sea,34,52,115,105,14,0
may,99,419,60,517,819,6
wafted,4,0,0,2,0,0
land,20,41,25,38,29,4
surpassing,2,0,0,2,0,1
wonders,5,1,0,4,0,1
every,109,85,52,283,185,23
hitherto,12,8,1,22,11,3
discovered,34,6,3,64,30,1
habitable,1,1,0,0,1,0
globe,2,1,0,7,1,2
productions,2,0,0,1,2,1
features,7,2,2,59,4,0
without,30,135,34,497,136,9
example,2,4,3,34,54,3
phenomena,2,0,0,1,6,0
heavenly,4,0,0,3,22,1
bodies,3,8,1,8,22,1
undoubtedly,1,2,0,12,14,2
undiscovered,2,1,0,0,0,0
solitudes,1,0,0,0,0,0
expected,12,34,1,85,17,0
country,54,25,10,84,39,14
eternal,11,2,2,13,14,4
light,42,82,17,213,126,0
discover,16,4,0,32,15,0
wondrous,7,1,0,1,0,0
power,39,46,6,99,156,12
attracts,1,0,0,1,1,0
needle,1,0,0,4,0,0
regulate,2,2,0,2,5,0
thousand,27,10,12,205,27,0
celestial,5,0,0,6,0,0
observations,1,0,0,6,0,0
require,1,3,2,59,31,1
voyage,15,4,10,15,6,0
render,10,1,0,41,7,0
seeming,2,7,0,8,14,0
eccentricities,1,1,0,2,0,0
consistent,1,0,0,2,12,0
shall,105,427,22,607,264,1
satiate,1,1,0,0,0,0
ardent,10,0,0,9,0,0
curiosity,14,5,4,54,3,0
sight,25,38,25,125,93,2
part,39,59,42,155,161,9
world,45,62,16,216,250,12
never,69,128,83,440,187,3
visited,17,6,0,30,0,0
tread,3,3,0,8,0,0
imprinted,2,0,0,3,0,0
foot,5,10,19,77,12,0
man,137,256,262,1423,637,14
enticements,2,0,0,0,0,0
sufficient,20,11,2,46,13,0
conquer,1,0,0,2,1,0
fear,40,137,25,141,59,0
danger,12,37,14,38,35,0
death,79,95,24,286,60,3
induce,4,1,0,13,0,0
commence,13,1,0,4,1,0
laborious,3,0,1,2,2,0
joy,42,16,6,94,6,0
child,35,76,8,208,31,1
feels,2,6,0,11,7,1
embarks,1,0,0,0,0,0
little,58,168,104,328,93,4
boat,17,18,46,68,0,0
holiday,1,2,0,1,2,0
mates,1,2,16,0,0,0
expedition,4,3,0,9,1,0
discovery,18,6,0,16,11,2
native,28,1,1,10,4,0
river,12,30,4,12,9,0
supposing,2,0,4,20,16,0
conjectures,1,0,0,1,0,0
false,5,2,0,42,47,0
contest,1,0,0,3,11,6
inestimable,1,0,0,0,0,0
benefit,7,0,1,4,17,4
confer,1,2,0,4,3,0
mankind,11,2,0,12,97,0
last,33,140,112,312,97,6
generation,2,0,0,5,41,0
discovering,3,1,0,8,1,0
passage,9,19,10,47,24,0
near,39,50,32,100,23,0
countries,3,2,1,12,15,12
reach,5,13,6,42,17,0
present,30,57,5,138,88,11
many,68,104,31,162,294,9
months,39,4,2,104,5,0
requisite,1,0,0,16,0,1
ascertaining,1,1,0,3,1,0
secret,13,19,7,109,13,0
magnet,1,0,0,0,0,0
possible,11,32,11,120,59,5
can,93,408,90,543,449,13
effected,1,1,0,4,12,2
mine,29,30,12,102,10,0
reflections,16,0,0,7,16,0
dispelled,1,2,0,3,1,0
agitation,14,1,0,28,0,2
began,28,113,92,128,19,0
heart,81,141,35,284,20,2
glow,1,2,6,3,0,0
enthusiasm,11,1,0,11,5,1
elevates,2,0,0,2,0,0
heaven,22,7,7,137,65,0
nothing,39,112,52,411,178,7
contributes,1,0,0,0,2,0
much,44,220,87,467,138,7
tranquillise,1,0,0,0,0,0
mind,85,106,39,234,234,0
steady,2,4,12,8,1,0
purpose,18,34,6,61,24,0
point,14,27,32,101,92,6
soul,38,65,13,53,342,0
fix,3,2,0,10,5,0
intellectual,1,4,0,3,34,4
eye,18,22,28,146,61,0
favourite,13,6,4,0,4,0
dream,18,18,2,61,29,1
early,15,36,7,17,38,1
years,44,29,15,249,77,2
read,28,81,5,164,11,0
ardour,13,1,0,0,0,0
accounts,3,1,1,12,0,0
various,26,12,2,18,24,9
voyages,4,0,1,4,1,0
made,70,196,88,595,184,8
prospect,13,2,1,8,0,0
arriving,1,2,0,9,3,0
pacific,1,0,0,0,0,0
ocean,13,1,2,24,4,0
seas,6,4,2,1,0,0
surround,4,1,0,4,4,0
remember,21,40,9,93,60,0
history,19,6,0,56,44,10
purposes,3,4,0,2,5,1
composed,5,5,0,22,11,0
whole,32,73,34,166,172,21
good,37,258,129,427,676,0
uncle,10,0,0,8,1,0
thomas,2,7,1,0,6,0
library,2,8,1,18,0,0
education,6,0,0,14,174,8
neglected,7,1,0,10,10,0
yet,152,156,40,292,185,6
passionately,1,0,0,3,0,0
fond,6,3,1,20,8,0
reading,3,17,1,36,4,0
volumes,2,1,0,5,0,0
study,19,38,1,78,55,0
day,82,224,50,472,70,0
night,93,319,43,240,16,0
familiarity,1,0,0,2,2,0
increased,12,3,5,29,0,3
regret,7,3,3,35,1,0
felt,80,87,16,198,18,1
learning,3,3,0,7,31,0
father,134,26,18,692,75,0
s,86,733,601,2759,213,9
dying,6,15,1,59,5,0
injunction,1,0,0,3,0,0
forbidden,3,2,0,12,10,1
allow,13,6,2,116,50,0
embark,1,0,1,2,0,0
seafaring,1,0,12,0,0,0
life,115,149,33,336,399,10
visions,5,0,0,6,5,0
faded,1,2,0,6,0,0
perused,1,0,0,6,0,0
time,98,390,131,734,217,15
poets,4,0,0,0,91,0
whose,50,30,4,265,52,10
effusions,1,0,0,0,0,0
entranced,1,0,0,0,0,0
lifted,1,19,6,20,3,0
also,66,42,13,194,404,13
became,61,42,4,130,12,5
poet,1,0,0,7,50,1
one,206,506,280,1512,933,34
year,8,6,5,101,15,0
lived,23,6,14,49,11,0
paradise,5,0,0,11,3,0
creation,19,2,0,5,18,0
imagined,9,3,2,14,13,0
might,108,159,61,365,146,1
obtain,7,1,0,45,10,0
niche,1,0,0,1,0,0
temple,1,1,0,6,9,0
names,16,4,7,26,27,0
homer,1,0,0,4,90,0
shakespeare,1,2,0,4,4,0
consecrated,1,0,0,1,1,0
well,49,245,156,993,293,5
acquainted,20,1,0,37,8,0
failure,3,1,0,8,6,1
heavily,3,11,4,18,0,0
bore,7,9,6,23,3,0
disappointment,7,3,4,5,2,0
inherited,2,0,0,3,8,0
fortune,9,7,21,219,15,0
cousin,25,0,0,10,1,0
thoughts,38,20,9,75,31,0
turned,24,84,43,226,33,1
channel,1,1,0,1,1,0
earlier,3,7,1,3,8,6
bent,9,26,3,28,2,0
six,4,12,36,147,10,0
passed,67,56,26,290,37,0
since,27,86,31,323,30,5
resolved,32,2,1,33,3,1
even,94,242,56,343,155,10
now,155,408,272,777,384,9
hour,25,56,11,230,19,1
dedicated,3,0,1,0,4,0
great,50,183,79,285,260,11
commenced,7,1,0,10,0,0
inuring,1,0,0,0,0,0
body,23,55,20,82,150,0
hardship,2,0,0,0,1,0
whale,3,1,0,1,0,0
fishers,1,0,0,0,0,0
several,51,16,16,55,45,0
expeditions,1,0,0,0,3,1
voluntarily,1,1,0,3,2,0
endured,23,5,0,5,5,0
famine,2,1,0,2,0,1
thirst,14,5,1,6,25,0
want,12,114,28,131,69,3
sleep,21,192,8,80,13,0
often,55,18,12,72,76,1
worked,8,11,1,17,2,1
harder,1,4,3,2,2,0
common,5,23,6,22,123,14
sailors,10,1,4,48,13,0
devoted,14,2,0,36,7,0
nights,5,13,2,21,4,0
mathematics,3,0,0,1,17,0
theory,4,3,0,8,13,1
medicine,1,3,5,3,46,0
branches,12,1,1,18,4,0
physical,3,8,0,12,20,0
science,28,12,0,12,87,5
naval,1,0,0,2,0,0
adventurer,1,0,0,3,0,0
derive,2,0,0,4,5,0
greatest,27,4,0,50,119,1
practical,3,3,0,1,9,7
