,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
st,0.00017280110592707794,0.00013832789243623084,0.0,0.00018938392967249792,8.335504037509768e-05,0.0
petersburgh,8.640055296353897e-05,0.0,0.0,0.0,0.0,0.0
dec,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
th,0.0004896031334600541,5.5331156974492333e-05,3.1185679535957086e-05,0.00028627803322586894,2.083876009377442e-05,0.00016909029421711193
will,0.0055872357583088535,0.006293919105848503,0.0014969126177259403,0.00883498053309374,0.016837718155769732,0.004058167061210686
rejoice,2.8800184321179656e-05,8.299673546173851e-05,3.1185679535957086e-05,2.6425664605464827e-05,5.209690023443605e-05,0.0
hear,0.0005472035021024135,0.0013971117136059314,0.0015280982972618973,0.0005549389567147614,0.0008022922636103152,0.0
disaster,0.00011520073728471862,0.0,6.237135907191417e-05,4.404277434244138e-06,2.083876009377442e-05,0.0
accompanied,0.0002592016588906169,0.0,3.1185679535957086e-05,0.00028627803322586894,4.167752018754884e-05,0.0005072708826513358
commencement,0.0001440009216058983,0.0,0.0,3.5234219473953106e-05,5.209690023443605e-05,0.0
enterprise,0.0002880018432117966,2.7665578487246167e-05,0.0,1.7617109736976553e-05,0.0,0.0
regarded,0.00017280110592707794,0.0,3.1185679535957086e-05,7.927699381639449e-05,0.00047929148215681167,0.0
evil,0.0006624042393871321,0.00033198694184695404,6.237135907191417e-05,0.00014093687789581242,0.00242771555092472,0.0
forebodings,5.760036864235931e-05,0.0,0.0,8.808554868488276e-06,1.041938004688721e-05,0.0
arrived,0.0008352053453142101,0.00030432136335970786,3.1185679535957086e-05,0.000607790285925691,0.00023964574107840584,0.0
yesterday,0.00011520073728471862,0.00038731809882144635,6.237135907191417e-05,0.0003259165301340662,1.041938004688721e-05,0.0
first,0.003110419906687403,0.0018674265478891164,0.003087382274059752,0.002395926924228811,0.004001041938004689,0.0023672641190395673
task,0.0005472035021024135,0.0005118132020140541,3.1185679535957086e-05,7.487271638215035e-05,0.00011461318051575932,0.00016909029421711193
assure,0.0001440009216058983,4.1498367730869255e-05,3.1185679535957086e-05,0.00033912936243679864,3.125814014066163e-05,0.00016909029421711193
dear,0.002073613271124935,0.0030847120013279476,0.00034304247489552796,0.0018101580254743406,0.0003125814014066163,0.0
sister,0.0008064051609930304,0.00012449510319260775,0.0,0.0002422352588834276,0.0001041938004688721,0.0
welfare,5.760036864235931e-05,0.0,0.0,0.0,1.041938004688721e-05,0.0
increasing,2.8800184321179656e-05,5.5331156974492333e-05,0.0,5.725560664517379e-05,9.377442042198489e-05,0.0
confidence,0.00011520073728471862,0.00022132462789796933,0.00012474271814382835,0.00023783098144918344,4.167752018754884e-05,0.0
success,0.0003456022118541559,5.5331156974492333e-05,6.237135907191417e-05,8.808554868488276e-05,4.167752018754884e-05,0.0
undertaking,0.0003744023961753355,0.0,3.1185679535957086e-05,1.7617109736976553e-05,0.0,0.0
already,0.000921605898277749,0.0008852985115918773,0.001403355579118069,0.0008235998802036538,0.000646001562907007,0.0013527223537368955
far,0.0011232071885260066,0.0013417805566314392,0.0015592839767978545,0.00043161918855592554,0.001885907788486585,0.0011836320595197836
north,0.0003456022118541559,0.00019365904941072318,0.0009043847065427556,2.202138717122069e-05,2.083876009377442e-05,0.0
london,0.00023040147456943725,0.0009267968793227467,0.00012474271814382835,1.7617109736976553e-05,0.0,0.00016909029421711193
walk,0.00017280110592707794,0.0002489902063852155,0.0002806711158236138,0.0001497454327643007,9.377442042198489e-05,0.0
streets,0.00017280110592707794,5.5331156974492333e-05,0.0,0.00010129838098761517,2.083876009377442e-05,0.0
feel,0.0014400092160589827,0.0010651247717589774,0.0002182997567516996,0.00045804485316139034,0.0002083876009377442,0.0
